_id,address,dir,end_date,flash_speed,geometry,min_speed,schedule,sign_id,sign_name,speed_limit,start_date,strobe_speed,ward_no
115,345 Wilmington Avenue,NB,,41,"{u'type': u'Point', u'coordinates': (-79.460103, 43.768824)}",30,Weekdays from 7 AM - 9 PM,274,Wilmington Ave NB ,40,2018-01-16T15:00:00,46.0,6
116,2813 Keele Street,NB,,61,"{u'type': u'Point', u'coordinates': (-79.482622, 43.729739)}",30,Weekdays from 7 AM - 9 PM,282,Keele St NB ,60,2019-03-20T06:00:00,66.0,6
117,25 Gade Drive,EB,,41,"{u'type': u'Point', u'coordinates': (-79.490174, 43.728303)}",30,Weekdays from 7 AM - 9 PM,352,Gade Dr EB ,40,2018-10-18T08:00:00,46.0,6
118,285 Wilmington Avenue,NB,,41,"{u'type': u'Point', u'coordinates': (-79.459095, 43.766502)}",30,Weekdays from 7 AM - 9 PM,463,Wilmington Ave NB ,40,2018-01-16T15:00:00,46.0,6
119,2 Renoak Drive,WB,,31,"{u'type': u'Point', u'coordinates': (-79.450126, 43.78567)}",20,Weekdays from 7 AM - 9 PM,542,Rockford Rd WB ,30,2019-03-11T08:00:00,36.0,6
120,330 Wilmington Avenue,SB,,41,"{u'type': u'Point', u'coordinates': (-79.460165, 43.768567)}",30,Weekdays from 7 AM - 9 PM,555,Wilmington Ave SB ,40,2018-01-16T15:00:00,46.0,6
121,86 Faywood Boulevard,NB,,41,"{u'type': u'Point', u'coordinates': (-79.447478, 43.739531)}",30,Weekdays from 7 AM - 9 PM,590,Faywood Blvd NB ,40,2019-03-07T09:00:00,46.0,6
122,2860 Keele Street,SB,,61,"{u'type': u'Point', u'coordinates': (-79.48343, 43.732043)}",30,Weekdays from 7 AM - 9 PM,665,Keele St SB ,60,2019-03-20T07:00:00,66.0,6
123,64 Bainbridge Avenue,EB,,41,"{u'type': u'Point', u'coordinates': (-79.443133, 43.749605)}",30,Weekdays from 7 AM - 9 PM,687,Bainbridge Ave EB ,40,2019-03-20T08:00:00,46.0,6
124,118 Faywood Boulevard,SB,,41,"{u'type': u'Point', u'coordinates': (-79.447988, 43.741241)}",30,Weekdays from 7 AM - 9 PM,730,Faywood Blvd SB ,40,2019-03-07T09:00:00,46.0,6
125,71 Buckland Road,NB,,41,"{u'type': u'Point', u'coordinates': (-79.502933, 43.740208)}",5,Weekdays from 7 AM - 9 PM,889,Buckland Rd NB ,40,2019-12-19T11:00:00,46.0,6
126,1878 Sheppard Avenue West,EB,,51,"{u'type': u'Point', u'coordinates': (-79.504987, 43.74066)}",30,Weekdays from 7 AM - 9 PM,890,Sheppard Ave W EB ,50,2019-12-19T10:00:00,56.0,6
127,1434 Sheppard Avenue West,EB,,51,"{u'type': u'Point', u'coordinates': (-79.489981, 43.744064)}",30,Weekdays from 7 AM - 9 PM,924,Sheppard Ave W EB ,50,2020-01-17T11:00:00,56.0,6
128,56 Stilecroft Drive,EB,,41,"{u'type': u'Point', u'coordinates': (-79.491564, 43.751099)}",5,Weekdays from 7 AM - 9 PM,945,Stilecroft Dr EB ,40,2020-01-17T10:00:00,46.0,6
129,271 Faywood Boulevard,NB,,41,"{u'type': u'Point', u'coordinates': (-79.451181, 43.751535)}",30,Weekdays from 7 AM - 9 PM,994,Faywood Blvd NB ,40,2019-03-07T09:00:00,46.0,6
130,843 Sheppard Avenue West,SB,,41,"{u'type': u'Point', u'coordinates': (-79.451871, 43.75244)}",30,Weekdays from 7 AM - 9 PM,1003,Faywood Blvd SB ,40,2019-03-20T06:00:00,46.0,6
131,64 Bainbridge Avenue,WB,,41,"{u'type': u'Point', u'coordinates': (-79.443133, 43.749605)}",30,Weekdays from 7 AM - 9 PM,2110,Bainbridge Ave WB ,40,2020-03-24T00:00:00,46.0,6
132,75 Duncanwoods Drive,NB,,41,"{u'type': u'Point', u'coordinates': (-79.562424, 43.750864)}",30,Weekdays from 7 AM - 9 PM,36,Duncanwoods Dr NB ,40,2019-01-03T14:00:00,46.0,7
133,45 Pearldale Avenue,SB,2020-02-14T11:00:00,41,"{u'type': u'Point', u'coordinates': (-79.563417, 43.749319)}",30,Weekdays from 7 AM - 9 PM,92,Pearldale Ave SB ,40,2019-01-03T13:00:00,46.0,7
134,3383 Weston Road,NB,,51,"{u'type': u'Point', u'coordinates': (-79.540982, 43.746207)}",30,Weekdays from 7 AM - 9 PM,155,Weston Rd NB ,50,2019-03-06T09:00:00,56.0,7
135,3418 Weston Road,SB,2020-03-03T06:00:00,51,"{u'type': u'Point', u'coordinates': (-79.541904, 43.749331)}",30,Weekdays from 7 AM - 9 PM,166,Weston Rd SB ,50,2019-03-06T10:00:00,56.0,7
136,101 York Gate Boulevard,SB,,51,"{u'type': u'Point', u'coordinates': (-79.518553, 43.761265)}",30,Weekdays from 7 AM - 9 PM,201,Jane St SB ,50,2019-03-11T08:00:00,56.0,7
137,4357 Jane Street,NB,,51,"{u'type': u'Point', u'coordinates': (-79.519139, 43.763019)}",30,Weekdays from 7 AM - 9 PM,277,Jane St NB ,50,2019-03-11T08:00:00,56.0,7
138,195 Sentinel Road  ,,2017-03-01T12:00:00,41,"{u'type': u'Point', u'coordinates': (-79.4979532214, 43.7526621335)}",30,Weekdays from 7 AM - 9 PM,291,Sentinel ,40,2016-01-01T00:00:00,46.0,7
139,296 Sentinel Road,SB,2019-11-27T23:00:00,41,"{u'type': u'Point', u'coordinates': (-79.500184, 43.754667)}",30,Weekdays from 7 AM - 9 PM,294,Sentinel Rd SB ,40,2019-08-01T00:00:00,46.0,7
140,241 Driftwood Avenue,NB,,41,"{u'type': u'Point', u'coordinates': (-79.516818, 43.761242)}",30,Weekdays from 7 AM - 9 PM,351,Strong Ct NB ,40,2019-03-11T10:00:00,46.0,7
141,400 Driftwood Avenue,WB,,41,"{u'type': u'Point', u'coordinates': (-79.518422, 43.766131)}",30,Weekdays from 7 AM - 9 PM,588,Driftwood Ave WB ,40,2019-03-07T08:00:00,46.0,7
142,181 Gracedale Boulevard,NB,,41,"{u'type': u'Point', u'coordinates': (-79.560559, 43.752374)}",30,Weekdays from 7 AM - 9 PM,607,Gracedale Blvd NB ,40,2019-04-02T09:00:00,46.0,7
143,379 Driftwood Avenue,EB,,41,"{u'type': u'Point', u'coordinates': (-79.516143, 43.766884)}",30,Weekdays from 7 AM - 9 PM,716,Driftwood Ave EB ,40,2019-03-07T09:00:00,46.0,7
144,85 Spenvalley Drive,EB,,41,"{u'type': u'Point', u'coordinates': (-79.509081, 43.742787)}",5,Weekdays from 7 AM - 9 PM,823,Spenvalley Dr EB ,40,2019-11-01T12:00:00,46.0,7
145,28 Bengal Court,WB,,51,"{u'type': u'Point', u'coordinates': (-79.500366, 43.741947)}",30,Weekdays from 7 AM - 9 PM,899,Sheppard Ave W WB ,50,2019-12-27T13:00:00,56.0,7
146,298 Sentinel Road,SB,,41,"{u'type': u'Point', u'coordinates': (-79.500164, 43.754788)}",5,Weekdays from 7 AM - 9 PM,921,Sentinel Rd SB ,40,2020-01-14T09:00:00,46.0,7
147,101 Yatescastle Drive,NB,,41,"{u'type': u'Point', u'coordinates': (-79.508455, 43.743909)}",5,Weekdays from 7 AM - 9 PM,935,Yatescastle Dr NB ,40,2019-11-04T11:00:00,46.0,7
148,82 Yatescastle Drive,SB,,41,"{u'type': u'Point', u'coordinates': (-79.50874, 43.744166)}",5,Weekdays from 7 AM - 9 PM,965,Yatescastle Dr SB ,40,2019-11-04T11:00:00,46.0,7
149,302 Grandravine Drive,EB,,41,"{u'type': u'Point', u'coordinates': (-79.511315, 43.74868)}",5,Weekdays from 7 AM - 9 PM,996,Grandravine Ave EB ,40,2019-11-01T13:00:00,46.0,7
150,349 Grandravine Drive,WB,2019-12-11T23:00:00,41,"{u'type': u'Point', u'coordinates': (-79.513248, 43.747394)}",5,Weekdays from 7 AM - 9 PM,997,Grandravine Ave WB ,40,2019-11-01T13:00:00,46.0,7
151,74 Ardwick Boulevard,SB,,41,"{u'type': u'Point', u'coordinates': (-79.558086, 43.745596)}",30,Weekdays from 7 AM - 9 PM,1004,Ardwick Blvd SB ,40,2019-03-20T07:00:00,46.0,7
152,241 Driftwood Avenue,NB,,41,"{u'type': u'Point', u'coordinates': (-79.516818, 43.761242)}",30,Weekdays from 7 AM - 9 PM,1940,Driftwood Ave NB ,40,2020-03-10T00:00:00,46.0,7
153,3424 Weston Road,SB,,51,"{u'type': u'Point', u'coordinates': (-79.541949, 43.749563)}",30,Weekdays from 7 AM - 9 PM,2078,Weston Rd SB ,50,2020-03-13T09:00:00,56.0,7
154,16 Yorkwoods Gate,WB,,41,"{u'type': u'Point', u'coordinates': (-79.514821, 43.750961)}",5,Weekdays from 7 AM - 9 PM,2082,Yorkwoods Gt WB ,40,2020-03-16T09:00:00,46.0,7
155,97 Danesbury Avenue,NB,,41,"{u'type': u'Point', u'coordinates': (-79.445072, 43.705551)}",30,Weekdays from 7 AM - 9 PM,217,Danesbury Ave NB ,40,2019-01-03T14:00:00,46.0,8
156,199 Glenview Avenue,EB,,31,"{u'type': u'Point', u'coordinates': (-79.411349, 43.718503)}",20,Weekdays from 7 AM - 9 PM,329,Broadway Ave EB ,30,2019-04-17T07:00:00,36.0,8
157,1053 Spadina Road,NB,,41,"{u'type': u'Point', u'coordinates': (-79.418695, 43.704381)}",30,Weekdays from 7 AM - 9 PM,345,Spadina RD NB ,40,2019-04-02T12:00:00,46.0,8
158,51 Gilgorm Road,NB,,41,"{u'type': u'Point', u'coordinates': (-79.41756, 43.70484)}",30,Weekdays from 7 AM - 9 PM,503,Gilgorm Rd NB ,40,2019-03-11T08:00:00,46.0,8
159,1138 Avenue Road,SB,,41,"{u'type': u'Point', u'coordinates': (-79.4109316321, 43.7095481522)}",5,Weekdays from 7 AM - 9 PM,558,Avenue Rd SB ,40,2017-04-06T11:00:00,46.0,8
160,335 Chaplin Crescent,EB,,41,"{u'type': u'Point', u'coordinates': (-79.420404, 43.70386)}",30,Weekdays from 8 AM - 5 PM,565,Chaplin Cres EB ,40,2019-04-02T14:00:00,46.0,8
161,43 Bedford Park Avenue,EB,,41,"{u'type': u'Point', u'coordinates': (-79.405417, 43.726887)}",5,Weekdays from 7 AM - 9 PM,813,Bedford Park Ave EB ,40,2019-11-07T16:00:00,46.0,8
162,546 Dufferin Street,NB,2019-10-11T12:00:00,41,"{u'type': u'Point', u'coordinates': (-79.430704, 43.647389)}",30,Weekdays from 7 AM - 9 PM,43,Dufferin St NB ,40,2019-08-01T00:00:00,46.0,9
163,300 Caledonia Road,NB,,41,"{u'type': u'Point', u'coordinates': (-79.4581544476, 43.6837699201)}",30,Weekdays from 7 AM - 9 PM,52,303 Caledonia Rd NB ,40,2018-06-12T09:00:00,46.0,9
164,218 Brock Avenue,SB,,31,"{u'type': u'Point', u'coordinates': (-79.435042, 43.648202)}",20,Weekdays from 7 AM - 9 PM,86,Brock Ave SB (Shirley) ,30,2018-10-18T08:00:00,36.0,9
165,1221 College Street,EB,2018-07-17T17:00:00,51,"{u'type': u'Point', u'coordinates': (-79.43711, 43.651627)}",30,Weekdays from 7 AM - 9 PM,164,College St EB ,50,2018-01-22T12:00:00,56.0,9
166,404 Rogers Road,EB,,41,"{u'type': u'Point', u'coordinates': (-79.461346, 43.683223)}",30,Weekdays from 7 AM - 9 PM,383,Rogers Rd EB ,40,2017-12-13T15:00:00,46.0,9
167,324 Caledonia Road,SB,2020-01-31T08:00:00,41,"{u'type': u'Point', u'coordinates': (-79.459062, 43.685191)}",30,Weekdays from 7 AM - 9 PM,391,Caledonia Rd SB ,40,2019-08-01T00:00:00,46.0,9
168,93 Margueretta Street,SB,,31,"{u'type': u'Point', u'coordinates': (-79.436891, 43.653022)}",20,Weekdays from 7 AM - 9 PM,398,Brock Ave SB ,30,2018-01-24T15:00:00,36.0,9
169,329 Brock Avenue,NB,,31,"{u'type': u'Point', u'coordinates': (-79.436086, 43.651284)}",20,Weekdays from 7 AM - 9 PM,419,Brock Ave NB ,30,2018-02-05T14:00:00,36.0,9
170,300 Caledonia Road,WB,2020-01-07T23:00:00,41,"{u'type': u'Point', u'coordinates': (-79.459494, 43.683491)}",30,Weekdays from 7 AM - 9 PM,423,Rogers Rd WB ,40,2019-08-01T00:00:00,46.0,9
171, Lane N College W Sheridan,WB,,51,"{u'type': u'Point', u'coordinates': (-79.435567, 43.652067)}",30,Weekdays from 7 AM - 9 PM,438,College St WB ,50,2018-01-22T12:00:00,56.0,9
172,31 Concord Avenue,NB,,31,"{u'type': u'Point', u'coordinates': (-79.424233, 43.655064)}",20,Weekdays from 7 AM - 9 PM,603,Concord Ave NB ,30,2019-01-03T15:00:00,36.0,9
173,145 Brock Avenue,NB,,31,"{u'type': u'Point', u'coordinates': (-79.434071, 43.646038)}",20,Weekdays from 7 AM - 9 PM,659,Brock Ave NB (Shirley) ,30,2019-03-21T08:00:00,36.0,9
174,300 Caledonia Road,WB,,41,"{u'type': u'Point', u'coordinates': (-79.459341, 43.683474)}",5,Weekdays from 7 AM - 9 PM,961,Rogers Rd WB ,40,2020-01-21T14:00:00,46.0,9
175,328 Caledonia Road,SB,,41,"{u'type': u'Point', u'coordinates': (-79.459021, 43.685245)}",5,Weekdays from 7 AM - 9 PM,971,Caledonia Rd SB ,40,2020-02-05T12:00:00,46.0,9
176,550 Dufferin Street,SB,,41,"{u'type': u'Point', u'coordinates': (-79.430688, 43.647528)}",5,Weekdays from 7 AM - 9 PM,974,Dufferin St SB ,40,2020-01-28T11:00:00,46.0,9
177,184 Gladstone Avenue,SB,,41,"{u'type': u'Point', u'coordinates': (-79.42926, 43.648)}",30,Weekdays from 7 AM - 9 PM,993,Gladstone Ave SB ,40,2018-11-21T15:00:00,46.0,9
178,447 Dufferin Street,NB,,41,"{u'type': u'Point', u'coordinates': (-79.429722, 43.645384)}",30,Weekdays from 7 AM - 9 PM,1002,Dufferin St NB ,40,2018-11-21T15:00:00,46.0,9
179,33 Phoebe Street,EB,2020-01-31T12:00:00,31,"{u'type': u'Point', u'coordinates': (-79.394826, 43.649857)}",20,Weekdays from 7 AM - 9 PM,147,Bulwer St EB ,30,2019-08-01T00:00:00,36.0,10
180,255 Spadina Avenue,NB,2020-01-27T23:00:00,41,"{u'type': u'Point', u'coordinates': (-79.3974079342, 43.6520960764)}",30,Weekdays from 12 AM,214,Spadina Ave NB ,40,2019-08-01T00:00:00,46.0,10
181,33 Phoebe Street,EB,,31,"{u'type': u'Point', u'coordinates': (-79.394976, 43.649825)}",20,Weekdays from 7 AM - 9 PM,949,Bulwer St EB ,30,2020-01-31T09:00:00,36.0,10
182,251 Spadina Avenue,NB,,41,"{u'type': u'Point', u'coordinates': (-79.397505, 43.651883)}",30,Weekdays from 12 AM,950,Spadina Ave NB ,40,2020-01-28T15:00:00,46.0,10
183,5 Elm Avenue,NB,2020-01-31T13:00:00,51,"{u'type': u'Point', u'coordinates': (-79.3797156283, 43.6738113885)}",30,Weekdays from 7 AM - 9 PM,211,Mount Pleasant Rd NB ,50,2019-08-01T00:00:00,56.0,11
184,370 Spadina Avenue,SB,,41,"{u'type': u'Point', u'coordinates': (-79.3991406413, 43.6549294281)}",30,Weekdays from 12 AM,439,Spadina Ave SB ,40,2017-05-10T12:00:00,46.0,11
185,128 Mount Pleasant Road,SB,,51,"{u'type': u'Point', u'coordinates': (-79.3808211537, 43.6760162315)}",30,Weekdays from 7 AM - 9 PM,653,Mount Pleasant Rd SB ,50,2017-03-07T11:00:00,56.0,11
186,124 Rosedale Heights Drive,WB,,31,"{u'type': u'Point', u'coordinates': (-79.377673, 43.68775)}",20,Weekdays from 7 AM - 9 PM,721,Rosedale Hts WB ,30,2019-04-11T09:00:00,36.0,11
187,5 Elm Avenue,SB,,51,"{u'type': u'Point', u'coordinates': (-79.37977, 43.673609)}",30,Weekdays from 7 AM - 9 PM,943,Mt. Pleasant Rd SB ,50,2020-01-31T14:00:00,56.0,11
188,1596 Bathurst Street,,2019-11-27T23:00:00,41,"{u'type': u'Point', u'coordinates': (-79.420367, 43.688177)}",30,Weekdays from 7 AM - 9 PM,44,Bathurst and Nina ,40,2019-08-01T00:00:00,46.0,12
189,1384 Bathurst Street,SB,,41,"{u'type': u'Point', u'coordinates': (-79.41732, 43.680551)}",30,Weekdays from 7 AM - 9 PM,66,Bathurst St SB ,40,2019-03-20T08:00:00,46.0,12
190,636 Glenholme Avenue,SB,,41,"{u'type': u'Point', u'coordinates': (-79.445134, 43.696118)}",30,Weekdays from 7 AM - 9 PM,178,Glenholme Ave SB ,40,2019-04-03T08:00:00,46.0,12
191,18 Brownlow Avenue,EB,,61,"{u'type': u'Point', u'coordinates': (-79.391526, 43.706447)}",30,Weekdays from 7 AM - 9 PM,371,Eglinton Ave E EB ,60,2019-03-20T06:00:00,66.0,12
192,142 Ava Road,EB,,31,"{u'type': u'Point', u'coordinates': (-79.43043, 43.696739)}",20,Weekdays from 7 AM - 9 PM,436,Ava Rd EB ,30,2018-12-07T10:00:00,,12
193,2327 Dufferin Street,WB,,41,"{u'type': u'Point', u'coordinates': (-79.447427, 43.693029)}",5,Weekdays from 7 AM - 9 PM,770,Spenvalley Dr WB ,40,2019-10-24T13:00:00,46.0,12
194,2331 Dufferin Street,NB,,41,"{u'type': u'Point', u'coordinates': (-79.449296, 43.693535)}",5,Weekdays from 7 AM - 9 PM,773,Dufferin St NB ,40,2019-10-24T14:00:00,46.0,12
195,457 Avenue Road,NB,,51,"{u'type': u'Point', u'coordinates': (-79.401071, 43.685851)}",30,Weekdays from 7 AM - 9 PM,992,Avenue Rd NB ,50,2019-11-27T10:00:00,56.0,12
196,142 Ava Road,WB,,31,"{u'type': u'Point', u'coordinates': (-79.43043, 43.696739)}",20,Weekdays from 7 AM - 9 PM,2112,Ava Rd WB ,30,2020-03-24T00:00:00,,12
197,83 Alexander Street,SB,,31,"{u'type': u'Point', u'coordinates': (-79.378701, 43.664014)}",20,Weekdays from 7 AM - 9 PM,9,Mutual St SB ,30,2018-02-05T15:00:00,36.0,13
198,5 Maitland Place,SB,,41,"{u'type': u'Point', u'coordinates': (-79.375591, 43.665549)}",30,Weekdays from 7 AM - 9 PM,332,Homewood Ave SB ,40,2017-06-22T09:00:00,46.0,13
199,417 Sherbourne Street,NB,,41,"{u'type': u'Point', u'coordinates': (-79.373619, 43.664843)}",30,Weekdays from 7 AM - 9 PM,541,Sherbourne St NB ,40,2018-02-05T08:00:00,46.0,13
200,437 Sherbourne Street,SB,,41,"{u'type': u'Point', u'coordinates': (-79.374199, 43.666165)}",30,Weekdays from 7 AM - 9 PM,553,Sherbourne St SB ,40,2018-02-05T08:00:00,46.0,13
201,147 Durant Avenue,NB,,31,"{u'type': u'Point', u'coordinates': (-79.330374, 43.694512)}",20,Weekdays from 7 AM - 9 PM,738,Durant Ave NB ,30,2019-11-21T14:00:00,36.0,14
202,83 Alexander Street,EB,2020-03-30T10:00:00,31,"{u'type': u'Point', u'coordinates': (-79.379602, 43.663747)}",20,Weekdays from 7 AM - 9 PM,589,Alexander St EB ,30,2017-07-11T09:00:00,36.0,13
203,444 Sherbourne Street,NB,2020-02-09T03:00:00,41,"{u'type': u'Point', u'coordinates': (-79.375084, 43.665219)}",30,Weekdays from 7 AM - 9 PM,609,Homewood Ave NB ,40,2018-02-05T13:00:00,46.0,13
204,80 Sackville Street,EB,,41,"{u'type': u'Point', u'coordinates': (-79.362375, 43.655995)}",5,Weekdays from 7 AM - 9 PM,972,Queen St EB ,40,2020-01-13T12:00:00,46.0,13
205,446 Queen Street East,WB,,41,"{u'type': u'Point', u'coordinates': (-79.360953, 43.656437)}",5,Weekdays from 7 AM - 9 PM,978,Queen St WB ,40,2020-01-14T11:00:00,46.0,13
206,437 Sherbourne Street,NB,,41,"{u'type': u'Point', u'coordinates': (-79.374199, 43.666165)}",30,Weekdays from 7 AM - 9 PM,1997,Sherbourne St NB ,40,2020-03-10T00:00:00,46.0,13
207,540 Jones Avenue,SB,,41,"{u'type': u'Point', u'coordinates': (-79.3390653421, 43.6771506849)}",30,Weekdays from 7 AM - 9 PM,27,Jones Ave SB ,40,2017-03-07T11:00:00,46.0,14
208,140 Glebeholme Boulevard,WB,,31,"{u'type': u'Point', u'coordinates': (-79.332557, 43.684151)}",20,Weekdays from 7 AM - 9 PM,55,Glebeholme Blvd WB ,30,2019-04-03T08:00:00,36.0,14
209,226 Broadview Avenue,SB,,41,"{u'type': u'Point', u'coordinates': (-79.351235, 43.661865)}",30,Weekdays from 7 AM - 9 PM,71,Broadview Ave SB ,40,2018-02-02T14:00:00,46.0,14
210,155 Broadview Avenue,NB,,41,"{u'type': u'Point', u'coordinates': (-79.350384, 43.660277)}",30,Weekdays from 7 AM - 9 PM,103,Broadview Ave NB ,40,2018-02-02T14:00:00,46.0,14
211,363 Jones Avenue,SB,2020-02-27T23:00:00,41,"{u'type': u'Point', u'coordinates': (-79.337305, 43.673331)}",30,Weekdays from 7 AM - 9 PM,142,Jones Ave SB ,40,2019-01-01T00:00:00,46.0,14
212,180 Carlaw Avenue,SB,,41,"{u'type': u'Point', u'coordinates': (-79.340014, 43.660605)}",30,Weekdays from 7 AM - 9 PM,172,Carlaw Ave SB ,40,2018-02-02T13:00:00,46.0,14
213,285 Donlands Avenue,NB,,41,"{u'type': u'Point', u'coordinates': (-79.340684, 43.688903)}",30,Weekdays from 7 AM - 9 PM,187,Donlands Ave NB ,40,2019-01-03T14:00:00,46.0,14
214,487 Jones Avenue,NB,,41,"{u'type': u'Point', u'coordinates': (-79.338471, 43.676307)}",30,Weekdays from 7 AM - 9 PM,220,Jones Ave NB ,40,2018-02-02T13:00:00,46.0,14
215,343 Jones Avenue,NB,2019-12-09T11:00:00,41,"{u'type': u'Point', u'coordinates': (-79.3368117282, 43.6722795217)}",30,Weekdays from 7 AM - 9 PM,259,Jones Ave NB ,40,2019-01-01T00:00:00,46.0,14
216,930 Dundas Street East,WB,2020-03-02T12:00:00,41,"{u'type': u'Point', u'coordinates': (-79.349116, 43.663094)}",30,Weekdays from 7 AM - 9 PM,275,Dundas St E WB ,40,2019-01-01T00:00:00,46.0,14
217,800 Greenwood Avenue,WB,,31,"{u'type': u'Point', u'coordinates': (-79.334377, 43.682012)}",20,Weekdays from 7 AM - 9 PM,413,Strathmore Blvd WB ,30,2019-04-15T10:00:00,36.0,14
218,449 O'Connor Drive,EB,2018-04-17T08:00:00,51,"{u'type': u'Point', u'coordinates': (-79.332715, 43.696974)}",30,Weekdays from 7 AM - 9 PM,464,499 O'Connor Dr EB  - Trial,50,2018-04-06T15:00:00,56.0,14
219,384 Plains Road,WB,2020-01-07T23:00:00,31,"{u'type': u'Point', u'coordinates': (-79.3300418041, 43.6957933178)}",20,Weekdays from 7 AM - 9 PM,473,Plains Rd WB ,30,2019-08-01T00:00:00,36.0,14
220,123 Blake Street,NB,,31,"{u'type': u'Point', u'coordinates': (-79.339621, 43.675992)}",20,Weekdays from 7 AM - 9 PM,479,Blake St NB ,30,2019-03-11T07:00:00,36.0,14
221,701 Greenwood Avenue,NB,,41,"{u'type': u'Point', u'coordinates': (-79.332991, 43.683007)}",30,Weekdays from 7 AM - 9 PM,515,Greenwood Ave NB ,40,2019-04-03T09:00:00,46.0,14
222,137 Carlaw Avenue,NB,2020-03-31T12:00:00,41,"{u'type': u'Point', u'coordinates': (-79.339416, 43.659536)}",30,Weekdays from 7 AM - 9 PM,560,Carlaw Ave NB ,40,2018-02-09T13:00:00,46.0,14
223,433 Eastern Avenue,,2018-02-09T10:00:00,41,"{u'type': u'Point', u'coordinates': (-79.3436940165, 43.6572348239)}",30,Weekdays from 12 AM,606,433 Eastern Ave ,40,2016-11-09T11:00:00,46.0,14
224, Plains Road,EB,,31,"{u'type': u'Point', u'coordinates': (-79.332489, 43.695138)}",20,Weekdays from 7 AM - 9 PM,612,Plains Rd EB ,30,2018-02-02T15:00:00,36.0,14
225,27 Glebeholme Boulevard,EB,,31,"{u'type': u'Point', u'coordinates': (-79.337171, 43.683109)}",20,Weekdays from 7 AM - 9 PM,620,Glebeholme Blvd EB ,30,2019-04-03T09:00:00,36.0,14
226,272 Donlands Avenue,SB,2020-01-07T23:00:00,41,"{u'type': u'Point', u'coordinates': (-79.341062, 43.690131)}",30,Weekdays from 7 AM - 9 PM,634,Donlands Ave SB ,40,2019-08-01T00:00:00,46.0,14
227,592 Coxwell Avenue,SB,2020-01-07T23:00:00,41,"{u'type': u'Point', u'coordinates': (-79.322445, 43.680467)}",5,Weekdays from 7 AM - 9 PM,689,Coxwell Ave SB ,40,2019-10-18T08:00:00,46.0,14
